2026-04-08 12:01:18,076 INFO:main.py:234:print_splash_screen:PDB2PQR v3.2.0: biomolecular structure conversion software.
2026-04-08 12:01:18,076 INFO:main.py:236:print_splash_screen:Please cite:  Jurrus E, et al.  Improvements to the APBS biomolecular solvation software suite.  Protein Sci 27 112-128 (2018).
2026-04-08 12:01:18,076 INFO:main.py:236:print_splash_screen:Please cite:  Dolinsky TJ, et al.  PDB2PQR: expanding and upgrading automated preparation of biomolecular structures for molecular simulations. Nucleic Acids Res 35 W522-W525 (2007).
2026-04-08 12:01:18,076 INFO:main.py:741:main_driver:Checking and transforming input arguments.
2026-04-08 12:01:19,146 INFO:main.py:745:main_driver:Loading topology files.
2026-04-08 12:01:24,311 INFO:main.py:747:main_driver:Loading molecule: 1BNA.pdb
2026-04-08 12:01:24,313 INFO:main.py:752:main_driver:Setting up molecule.
2026-04-08 12:01:24,314 INFO:main.py:403:setup_molecule:Created biomolecule object with 24 residues and 486 atoms.
2026-04-08 12:01:24,314 INFO:main.py:756:main_driver:Setting termini states for biomolecule chains.
2026-04-08 12:01:24,315 INFO:main.py:595:non_trivial:Loading forcefield.
2026-04-08 12:01:26,923 INFO:main.py:599:non_trivial:Loading hydrogen topology definitions.
2026-04-08 12:01:28,526 INFO:main.py:453:is_repairable:This biomolecule is clean.  No repair needed.
2026-04-08 12:01:28,526 INFO:main.py:614:non_trivial:Updating disulfide bridges.
2026-04-08 12:01:28,526 INFO:main.py:617:non_trivial:Debumping biomolecule.
2026-04-08 12:01:28,526 INFO:main.py:634:non_trivial:Adding hydrogens to biomolecule.
2026-04-08 12:01:28,526 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,526 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,527 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,528 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,529 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,529 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,529 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,529 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,529 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,529 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,529 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,529 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,529 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,530 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,530 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,530 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,530 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,530 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,530 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,530 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,530 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,530 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,530 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,531 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,531 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,531 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,531 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,531 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,531 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,531 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,531 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,531 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,531 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,532 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,533 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,534 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,535 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,536 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,536 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,536 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,536 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,536 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,536 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
2026-04-08 12:01:28,536 WARNING:biomolecule.py:368:add_hydrogens:Tetrahedral hydrogen reconstruction not available for nucleic acids. Some hydrogens may be missing (if so, this is a bug).
